Price,Close,High,Low,Open,Volume
Ticker,IRCON.NS,IRCON.NS,IRCON.NS,IRCON.NS,IRCON.NS
Date,,,,,
2024-02-26,228.31307983398438,233.77723819183439,224.52263873770502,227.13164384323204,15858772
2024-02-27,227.96849060058594,234.95866194508167,226.98395815577476,229.39605964100758,16544325
2024-02-28,220.04299926757812,229.7898643669658,214.48039701779769,229.24838354582306,12201435
2024-02-29,225.60560607910156,226.78705704345072,214.2342682408119,219.5507374892909,13726893
2024-03-01,223.98114013671875,227.87004044442796,223.09506691012245,226.63937483928117,4532997
2024-03-04,221.81517028808594,225.9009740624948,220.87986743858224,225.8517444340423,4448322
2024-03-05,220.9290771484375,226.6885980259587,218.96001223615988,221.0275364031606,5239299
2024-03-06,216.25254821777344,220.9783070169515,213.69277284268293,220.92907738953622,6411612
2024-03-07,220.14146423339844,223.39040933566363,216.35100825039154,216.5971413655797,6066197
2024-03-11,215.56338500976562,223.78423728477856,213.79122352872872,221.07677294570854,6589765
2024-03-12,204.3397216796875,215.61261570635548,202.91215257111796,215.61261570635548,10444317
2024-03-13,182.33541870117188,207.6379013220878,178.29884440493626,203.89668978478988,22208557
2024-03-14,205.27500915527344,210.34534509892057,172.53930625641087,176.32976207486186,38700567
2024-03-15,213.44664001464844,215.71106767383043,197.0541655663994,203.6997596615015,31159107
2024-03-18,213.24974060058594,220.14146794195406,212.11751923798286,218.56620996910343,13841785
2024-03-19,211.47756958007812,214.33270762622516,209.55773434058113,212.51133163912195,6829204
2024-03-20,207.04718017578125,214.82498063197244,205.7672849680759,212.6590122158105,8499949
2024-03-21,212.708251953125,215.0218943397344,210.24692067623803,210.49305380392676,7383003
2024-03-22,215.76028442382812,219.99377704217073,211.67448068939788,214.28348572134394,9343177
2024-03-26,221.9628448486328,224.47340567987027,213.74200764551216,216.59714583145376,17124450
2024-03-27,219.05848693847656,224.91645246104054,217.6309177809604,223.6857868040828,7884385
2024-03-28,216.25254821777344,221.4705732455581,210.1976796150214,220.9783070169515,8713396
2024-04-01,223.68577575683594,224.4734047429448,217.13864079427606,218.27084713365088,7621644
2024-04-02,228.5592041015625,232.1035269592542,222.2582023798585,223.83346032167103,15300004
2024-04-03,228.8545684814453,232.59579485294682,225.21180136555168,228.31307262114836,7524075
2024-04-04,227.27932739257812,233.72800307226598,225.26103281844965,230.2821394168961,8425101
2024-04-05,231.80816650390625,233.82646106714574,224.17803987960994,227.37777039947613,12658210
2024-04-08,228.95303344726562,235.84476087405116,227.9192713286931,234.02336975929128,7346009
2024-04-09,226.49169921875,231.21745811040807,224.6210784997742,230.1836960055495,5618786
2024-04-10,224.47340393066406,227.52546060725172,223.3904122008366,227.3777717225807,4079825
2024-04-12,222.75047302246094,229.1991637542957,221.6674812881595,224.86721183986336,5707513
2024-04-15,215.31724548339844,220.2399077716461,208.7208810217012,212.85591433927462,10458385
2024-04-16,217.08941650390625,219.64920701600965,212.21598362776106,213.54509349065134,4858822
2024-04-18,218.1724090576172,222.94738269190083,215.66184816599701,219.35384505874026,6491137
2024-04-19,213.93890380859375,216.5971384118206,211.1822099515251,213.64354106984123,6534549
2024-04-22,218.9108123779297,220.09224840032599,215.71108167993702,216.30179217974816,4618139
2024-04-23,224.3257293701172,226.2455646826745,219.64920013612647,220.04300711514267,8776551
2024-04-24,237.7153778076172,241.06279744361098,224.96568447124173,226.4424832752105,30271458
2024-04-25,240.02902221679688,242.19499067355036,236.68160276292926,241.21045819113755,18885611
2024-04-26,246.92076110839844,249.28363316726814,238.84759738069044,241.112010177618,26239299
2024-04-29,251.05577087402344,262.7717008390354,250.07123843922335,254.0093681784237,28324974
2024-04-30,246.67462158203125,252.43412770976883,244.55786768733893,252.04032071775686,11203254
2024-05-02,247.51145935058594,251.44958926879906,242.9826189583049,247.8068220990066,8278481
2024-05-03,245.59161376953125,249.77587663299033,239.14292329305744,249.08670693062223,8323949
2024-05-06,242.0473175048828,247.36378691605884,239.24139391284498,247.11765379474934,8367504
2024-05-07,229.7898712158203,241.01355032530344,228.41153177456584,241.01355032530344,9068131
2024-05-08,234.8109893798828,235.6478479716876,225.11333873600697,229.24838704519183,6393202
2024-05-09,222.75047302246094,234.90945512804495,221.51980742565178,232.4481239344266,6647815
2024-05-10,224.76876831054688,226.73783327161559,216.15410910587133,224.37494630466907,6185766
2024-05-13,221.12600708007812,225.45794410174446,215.80952252864344,225.45794410174446,4942540
2024-05-14,238.6014404296875,240.02900944869327,222.0120629743777,222.11052222649093,16359637
2024-05-15,238.99525451660156,240.8658601803308,235.10635430657092,239.4875207462959,6835404
2024-05-16,257.3567810058594,259.4243051968028,239.97978896288683,240.71818831354187,37842759
2024-05-17,262.9686584472656,265.62687838917196,255.09239779767654,258.1444548085023,25160459
2024-05-21,285.2682800292969,296.7873218191902,268.23588050478253,271.58328485667283,47422908
2024-05-22,274.7337646484375,287.6803902371639,269.61421400109504,280.4932854165501,31008571
2024-05-23,276.1121520996094,287.77883820745546,273.25698380845205,276.35828522501623,27492536
2024-05-24,267.7436218261719,278.52423453021737,265.8237714585303,278.08121293844806,13202136
2024-05-27,272.1247863769531,277.93352231819716,269.22043342910536,269.7126996960845,12891035
2024-05-28,266.6606140136719,276.1613459305146,264.10082369290745,273.2077486478353,8107909
2024-05-29,268.1374206542969,270.2541594275895,259.6704355155801,262.8701660006062,8547745
2024-05-30,266.3160400390625,272.1740204056453,264.1500565306922,267.30057253458585,10751659
2024-05-31,266.61138916015625,270.94335619949254,258.09518903856804,266.31604142817764,14815275
2024-06-03,282.5115966796875,294.3259860016517,276.85053512957967,294.3259860016517,21551402
2024-06-04,233.6295623779297,282.51160941472097,226.0486652258262,282.51160941472097,34873825
2024-06-05,234.5648651123047,244.01638300002114,209.70541980659348,233.62956225387222,20916229
2024-06-06,245.14859008789062,263.8547074038341,239.83212064931087,240.96432700406118,24170756
2024-06-07,247.01919555664062,249.97279302454518,241.94885924584727,246.1331223253787,10993274
2024-06-10,247.75759887695312,254.00938629288362,245.19782337758835,248.9390499011856,10052858
2024-06-11,267.6451721191406,271.1402505540779,252.04032563607848,252.04032563607848,33027994
2024-06-12,266.512939453125,268.58043350909116,264.839222312486,267.79281958734646,9969797
2024-06-13,263.70703125,269.5649814891766,261.0980261824308,268.1866420238143,7161236
2024-06-14,264.9869079589844,267.5466983868826,260.95031882793864,264.83923409777896,7934260
2024-06-18,269.7126770019531,274.19228763632094,267.005212761379,267.7928267040549,13291010
2024-06-19,263.65777587890625,271.04176919193253,259.17816528722193,269.7618890358929,6974875
2024-06-20,262.87017822265625,266.75909362656625,259.9165807145365,264.9869170943659,5465629
2024-06-21,272.1247863769531,281.5270901035836,261.8856540328969,261.8856540328969,40578712
2024-06-24,275.12762451171875,283.10231388088897,267.89130448640867,271.73097530222174,15181132
2024-06-25,267.6943664550781,277.34280246750694,266.21756778388914,275.66908528860773,8326504
2024-06-26,266.2175598144531,271.7309473642868,264.6423019365657,267.7928176923406,7105983
2024-06-27,265.3315124511719,271.18949292610523,261.4425970037055,267.34979208610633,7785256
2024-06-28,265.47918701171875,269.51577633766647,263.3624481107791,265.823779401534,6588587
2024-07-01,267.054443359375,270.6479810120598,263.55936496680783,265.5284299869691,5532987
2024-07-02,270.9433288574219,273.35541521329304,266.51293305154826,267.3990062036141,9278295
2024-07-03,272.0263366699219,274.48766809127676,269.71270917028795,272.3217144678142,6450234
2024-07-04,275.4229431152344,279.6072058792728,272.7646935763332,273.7000113888656,11850880
2024-07-05,302.9898681640625,310.91534254298665,282.06855314054883,283.54535184809095,116642523
2024-07-08,321.8929138183594,329.3261221965039,305.9434752543007,307.07568162344523,69690983
2024-07-09,307.7648620605469,331.49210105378825,298.5102626733559,324.9449359657125,37087245
2024-07-10,314.3612060546875,321.25293335349846,301.75920244079464,310.1277284464937,35028228
2024-07-11,314.9519348144531,319.6777087528569,306.7803272364369,316.62565205117784,20838354
2024-07-12,331.59051513671875,344.04487459034647,314.06584965090536,316.5271807610222,87655276
2024-07-15,330.2614440917969,346.161638195933,327.8493274124352,334.93797353686915,24120169
2024-07-16,318.7916259765625,331.09828278612014,317.0194794142057,331.09828278612014,17704501
2024-07-18,307.9617614746094,318.2009237601701,303.1375581163441,317.511738975183,16199861
2024-07-19,311.2107238769531,324.40345313968527,299.93781492869067,304.2205372387337,35548908
2024-07-22,314.01666259765625,317.8070888033584,303.777500244785,311.2107388768319,14899744
2024-07-23,288.7141418457031,322.87742998343015,257.9475026890851,316.87177601094913,49274362
2024-07-24,287.8772888183594,300.23318936991694,286.4989493665985,290.1909461367866,17445878
2024-07-25,276.3582763671875,286.35127492930025,275.6690916199191,285.51441632063046,13357470
2024-07-26,270.3526306152344,281.0840288603374,268.7773726055065,278.03197210002986,15492024
2024-07-29,294.4736633300781,297.72260841369587,272.9124085724564,273.10929703614914,31430780
2024-07-30,290.58477783203125,296.93502483509036,287.48350629040556,295.9504922793013,12191752
2024-07-31,284.28375244140625,291.9138791303098,283.59456768999627,290.8801320487416,7124681
2024-08-01,282.70849609375,286.4989521571725,278.9180400303275,285.51441967553274,5838251
2024-08-02,281.5762939453125,282.46236718288407,273.9461670988923,274.9306995952046,7322309
2024-08-05,263.3624267578125,274.5368759209447,261.63949499397637,266.8082902854848,14487568
2024-08-06,257.0121765136719,274.5368716368336,255.43694867632504,266.168346057362,10154359
2024-08-07,270.2049560546875,272.12477639817746,257.50446279591233,266.1191221521488,10558975
2024-08-08,265.7745666503906,279.1149703212468,264.05163473482736,270.7464438742253,14666412
2024-08-09,260.5072937011719,270.64796597330957,259.4735165957011,267.74361325728285,9269654
2024-08-12,267.89129638671875,272.32169258921505,255.14158863020498,260.4580580640911,19226912
2024-08-13,264.0516357421875,272.7155099609962,261.44260050937106,269.663453118388,7741106
2024-08-14,257.9967346191406,264.98692151405544,255.63386258234425,264.05163364821317,5373640
2024-08-16,262.6732482910156,266.0698972959915,260.6549687663783,261.688715831086,4700176
2024-08-19,265.6268615722656,269.5649916477361,264.34698131595695,265.725320833262,4443127
2024-08-20,261.8856201171875,266.709822899711,261.4918131637142,266.709822899711,3224476
2024-08-21,260.60577392578125,264.7900371978143,259.27664899496693,261.68873567739803,3771309
2024-08-22,261.3934020996094,263.85473356947386,260.9011358056365,262.18101615174595,2873571
2024-08-23,261.4918212890625,268.97427381973654,260.5072888520145,262.18097596766876,8126210
2024-08-26,260.5072937011719,263.2147579534514,259.4243019911508,262.87016558496117,3404950
2024-08-27,259.2766418457031,263.70703812922187,257.9967315586913,260.5073074800139,3751987
2024-08-28,260.359619140625,262.32868404606955,259.0797089247584,259.4243012923204,3340343
2024-08-29,258.9320373535156,262.5748194789889,257.9475048920954,261.29490925181483,3077103
2024-08-30,257.0614318847656,261.6887164296921,255.97844016725642,259.965784620874,4766373
2024-09-02,252.87716674804688,259.1289538383017,251.54804192641063,257.9475028756148,4502737
2024-09-03,252.04031372070312,255.73231050372124,250.2189226319715,253.02484619617462,4475218
2024-09-04,252.33566284179688,257.9475100012645,248.10218519205597,249.38208042180776,4202549
2024-09-05,249.86180114746094,254.71059837750906,249.36702530360458,254.16635702875544,3008514
2024-09-06,243.57814025878906,250.80187055056564,240.75792702731928,249.71337276099078,5712905
2024-09-09,237.9871826171875,242.44016524412032,235.31539606089993,242.44016524412032,5535832
2024-09-10,241.74746704101562,242.68753807280186,238.58090483424957,238.87775824475918,2440527
2024-09-11,235.6122589111328,242.98441584040756,234.5237460332597,242.7865085260743,2816444
2024-09-12,237.19552612304688,238.382985076356,232.14882179664323,236.79971150506378,4397882
2024-09-13,242.3906707763672,246.744707044407,236.55232215026984,237.93768840411542,5838726
2024-09-16,237.4429168701172,242.7865048728711,236.89866043937005,242.7865048728711,2712516
2024-09-17,229.32859802246094,238.08613628442194,228.58643427481545,237.98717507832518,4650778
2024-09-18,224.62823486328125,233.4847195175341,223.04494611084428,229.57599334044605,5223330
2024-09-19,221.31321716308594,228.3885204140732,215.87068316972324,225.86516072455132,7195339
2024-09-20,230.1697235107422,238.08613683734575,219.9773383328681,222.55016360439816,15432616
2024-09-23,228.6359100341797,232.00037957915185,226.8052334556932,231.70351106651083,3848740
2024-09-24,225.0240478515625,230.9613579806207,224.0344961633861,227.69584948912708,5653995
2024-09-25,223.8860626220703,228.5864329975613,221.8574787033022,225.12300219456793,3485987
2024-09-26,222.4512176513672,226.90420015066312,219.68046996526655,224.62822829781763,4627250
2024-09-27,224.97457885742188,227.9926993800622,222.6491263865296,222.6491263865296,3728031
2024-09-30,225.56829833984375,226.7062918107942,221.26375766962974,224.57874667781385,3927349
2024-10-01,222.8074493408203,226.40941668146215,222.46110022947875,226.16202877317806,2398929
2024-10-03,216.36546325683594,220.39294573909118,215.72226072103555,217.67167868871115,3998031
2024-10-04,215.0889434814453,218.4930035137327,210.43805382776134,217.35501007654474,4386006
2024-10-07,204.4215850830078,217.6914765549772,201.37376413818237,215.08895084021677,7181480
2024-10-08,216.1576690673828,218.36436506219889,200.77013758921288,202.36331638083098,7765969
2024-10-09,220.36326599121094,223.90586281682863,218.2951066042693,218.69092123644634,4540076
2024-10-10,218.25550842285156,221.62988315641925,217.2065860949648,220.86792416188723,2327469
2024-10-11,223.85638427734375,227.00315140044322,216.3160052395043,218.19614740872416,6643826
2024-10-14,220.01690673828125,225.81567991903924,219.29453827308964,224.43031367081431,3294957
2024-10-15,219.74974060058594,222.35225115401516,218.69091309492234,221.16479220233097,2475580
2024-10-16,221.1746826171875,224.13344746988844,218.92841125580537,219.68046506982444,3563444
2024-10-17,221.4121856689453,229.08121109435012,220.02681937377756,223.07462522314665,9146991
2024-10-18,219.42318725585938,221.39238536633772,213.94106268547404,221.39238536633772,3502572
2024-10-21,211.6551971435547,221.55071342517275,209.38913055878234,220.76897428264314,2698786
2024-10-22,198.08843994140625,210.73492378524344,197.1186835625464,210.67553800341307,7994556
2024-10-23,199.384765625,204.19398720529907,190.04339571599442,198.80091868116733,6737198
2024-10-24,200.2159881591797,202.56122074963034,196.99994528057255,200.38421012859902,4030854
2024-10-25,191.12200927734375,201.37376520062259,189.8256990032521,200.8789893647488,5780057
2024-10-28,198.90977478027344,201.5815763557235,190.78556406486038,192.13135493346746,5883020
2024-10-29,201.1461639404297,203.05599133752153,196.5348497234769,199.88942914324306,3737973
2024-10-30,210.93283081054688,215.07905459026634,200.19618949694438,201.8190535795256,10513886
2024-10-31,215.36602783203125,217.55294369668152,208.49853673139788,210.932840516968,6622166
2024-11-01,217.8794708251953,218.6909104101564,216.71180714852602,216.71180714852602,1118767
2024-11-04,207.736572265625,218.56226981740454,207.02410896344983,218.49300905302863,4506677
2024-11-05,209.93338012695312,210.51722708603202,203.89712401750558,207.63762811104212,4275376
2024-11-06,216.60296630859375,217.56283264471287,211.36824457290948,212.75361088310183,4435966
2024-11-07,213.0405731201172,219.17580557461483,211.9718706002945,217.6518875419546,4335677
2024-11-08,203.7783660888672,206.5293335949807,200.33473054001036,202.85809029279272,10557068
2024-11-11,198.3952178955078,202.30394393551893,197.23744426437705,200.92846773107877,4493321
2024-11-12,195.832275390625,202.21489593512555,194.9416849003676,200.6316071753783,2572256
2024-11-13,189.85537719726562,196.92077526355132,189.18247423414527,195.93122362906112,3409762
2024-11-14,189.77621459960938,193.95212377871206,189.10332672398823,189.85538054368715,2923372
2024-11-18,182.404052734375,192.4677909424233,181.58272307421427,191.0527393672487,5421257
2024-11-19,186.79766845703125,192.24020251043305,183.70036697302743,184.05660616958812,5769343
2024-11-21,183.81910705566406,188.00492136087428,181.39470855957987,187.02525980233065,3708642
2024-11-22,185.60031127929688,186.03571643578894,181.028587334851,185.77843843393472,3449424
2024-11-25,194.3974151611328,199.49361512750437,193.20995622214903,195.23854008839947,8191091
2024-11-26,195.5255126953125,196.60412040193762,193.07142875839068,195.9213424266614,3036152
2024-11-27,208.93394470214844,210.2302550093303,194.54586967138084,196.1291433269762,14021067
2024-11-28,210.10162353515625,212.64476354454175,207.90481756007208,209.13185200064697,6711630
2024-11-29,207.55845642089844,210.62607254362104,205.43092643535064,210.62607254362104,3900402
2024-12-02,214.95040893554688,218.6909129352692,204.59969211398735,207.55845696005755,5648924
2024-12-03,216.79098510742188,220.17525006047308,214.98010371073158,216.32589460721047,4610595
2024-12-04,218.2852020263672,221.93665015081598,216.71181847498434,217.19670423519585,4017978
2024-12-05,216.88003540039062,219.1362119760987,214.94052260341493,219.1362119760987,3268351
2024-12-06,223.51992797851562,226.32036091539547,215.92016357572936,217.2065837201397,8283227
2024-12-09,224.97457885742188,227.25053562544042,222.9360897279315,224.47980302100737,4155264
2024-12-10,220.31378173828125,225.8651671740022,219.23517404900758,225.8651671740022,3476431
2024-12-11,233.6826171875,235.21642527195903,220.10596727881952,220.31377976999806,21768728
2024-12-12,230.19940185546875,233.4847054344796,228.63590845906634,233.4847054344796,5387160
2024-12-13,223.6980438232422,228.78433870572795,220.89761083881274,228.44789476821313,5757348
2024-12-16,227.84426879882812,229.97179881952923,224.39072808354535,224.82613322809217,5314211
2024-12-17,226.32037353515625,231.25822680186272,224.73708479231072,227.59688857081306,4321955
2024-12-18,221.4715576171875,226.79535045210147,219.82889821542707,226.32036987667013,3414613
2024-12-19,215.36602783203125,218.83934880597656,213.65410764708665,213.65410764708665,3688041
2024-12-20,215.98944091796875,218.3247833948013,210.93283142827184,215.72225774706678,4758321
2024-12-23,210.03233337402344,219.18568594744968,208.05323011490427,218.19613431789008,3427625
2024-12-24,207.86521911621094,213.24838255817096,206.81629677335374,210.279727580563,2806918
2024-12-26,205.21322631835938,210.57659445752682,204.73823065410372,208.20166143432832,2504845
2024-12-27,207.18243408203125,211.07138010502865,204.8470914718638,207.80585648327647,3138931
2024-12-30,206.7965087890625,211.16043538354955,204.69866402952957,207.11317257884286,3369440
2024-12-31,212.7635040283203,216.71182071827232,205.44082754151103,206.81630379049733,8025119
2025-01-01,215.57383728027344,218.14666256183415,211.26928147740654,211.65520602460867,3544815
2025-01-02,215.63320922851562,217.70136860643026,213.6244205352324,216.71181693094647,3102552
2025-01-03,214.33689880371094,221.4616678424749,213.64420055185533,217.53314648552816,5008216
2025-01-06,202.007080078125,214.7228252516253,200.97795297094035,214.336900699011,4804409
2025-01-07,205.5595703125,206.51943666897873,201.2352342174134,201.8685467011288,2602160
2025-01-08,204.1741943359375,207.41003246844267,202.0862397445368,206.32151961060916,2789432
2025-01-09,202.2346649169922,207.70688430752062,197.0197386178305,204.17419278548724,2709569
2025-01-10,190.23141479492188,200.87898512228423,189.10332651692877,199.9191188130122,5549670
2025-01-13,179.84112548828125,191.79491144367503,179.11874189946266,188.01481682610984,4521266
2025-01-14,186.07528686523438,188.17314664481248,181.19680444583966,181.73115569669068,4468280
2025-01-15,188.0247039794922,193.35838678032943,186.56017176220698,189.06373623406773,4687576
2025-01-16,218.10708618164062,222.9459932211834,192.68550148313454,192.98237000260886,56490315
2025-01-17,217.84979248046875,222.50069737415168,211.229704541173,212.7536074578503,25248405
2025-01-20,216.6326446533203,227.0031416814641,214.48531939220504,219.03726300613187,13149405
2025-01-21,211.50677490234375,218.1466580117846,209.78494959723835,217.20658696506518,6585779
2025-01-22,207.91470336914062,211.45730018320222,201.67063470585023,211.45730018320222,6445532
2025-01-23,208.7459259033203,212.50622534370976,204.2434626957235,205.82675143884344,5582434
2025-01-24,203.3033905029297,209.6365303415478,202.16541210582196,209.33966181641,3940638
2025-01-27,194.0214080810547,201.50241647915308,192.96258051974047,201.50241647915308,4757869
2025-01-28,185.91697692871094,198.91968557188082,184.2545222326597,195.93123523094147,10868685
2025-01-29,192.15113830566406,198.52385355173794,187.23308033900483,187.81691220736394,11096358
2025-01-30,200.58212280273438,203.7585903437917,193.06153908360463,194.05109076501856,12063956
2025-01-31,219.11642456054688,220.67002796927926,202.42269229888154,204.24346379370527,31011752
2025-02-01,198.78114318847656,227.10210699352032,197.3165958535368,220.67002117453174,31619043
2025-02-03,193.48703002929688,196.3270383906225,187.37160817124524,190.8548190557289,11415365
2025-02-04,190.0334930419922,199.63215616788398,188.41062893296635,196.42600337228467,10243253
2025-02-05,192.14125061035156,195.6640522250626,191.10221831178868,191.10221831178868,4088749
2025-02-06,189.12310791015625,193.3484977146207,188.0148148857826,192.9625731722506,4162084
2025-02-07,187.22317504882812,189.9444421719197,185.63990141864562,189.20227841107655,4145700
2025-02-10,186.89662170410156,191.0131603329215,184.50190844101624,189.00437162257802,4591635
2025-02-11,177.9708709716797,187.41118710500143,175.55636252056428,186.8966160172162,4785894
2025-02-12,166.83840942382812,170.18308363691733,157.9423349108172,161.62346815072797,33265324
2025-02-13,165.59156799316406,170.84608479135952,164.3150530198993,165.25512405904587,8256727
2025-02-14,156.27000427246094,167.72901488920422,155.08254524002015,167.52120238633069,8147332
2025-02-17,154.5399932861328,157.7899932861328,150.7100067138672,154.0,8824929
2025-02-18,151.10000610351562,154.89999389648438,146.50999450683594,152.25,9052529
2025-02-19,161.16000366210938,164.1999969482422,148.2100067138672,150.0,13881729
2025-02-20,160.75,163.97999572753906,157.3000030517578,159.7899932861328,6230757
2025-02-21,158.69000244140625,166.75,157.6999969482422,160.89999389648438,7661534
2025-02-24,154.91000366210938,157.3000030517578,152.97000122070312,156.0,5024103
2025-02-25,153.83999633789062,157.49000549316406,153.11000061035156,155.0,3252896
